MB 0 (4x4) -> Y = 1744 | CbCr = 318
MB 1 (4x4) -> Y = 43 | CbCr = 53
MB 2 (4x4) -> Y = 30 | CbCr = 7
MB 3 (4x4) -> Y = 52 | CbCr = 49
MB 4 (4x4) -> Y = 46 | CbCr = 38
MB 5 (4x4) -> Y = 45 | CbCr = 61
MB 6 (4x4) -> Y = 42 | CbCr = 43
MB 7 (4x4) -> Y = 42 | CbCr = 29
MB 8 (4x4) -> Y = 44 | CbCr = 49
MB 9 (4x4) -> Y = 53 | CbCr = 34
MB 10 (4x4) -> Y = 39 | CbCr = 7
MB 11 (4x4) -> Y = 27 | CbCr = 7
MB 12 (4x4) -> Y = 38 | CbCr = 27
MB 13 (4x4) -> Y = 42 | CbCr = 29
MB 14 (4x4) -> Y = 44 | CbCr = 40
MB 15 (4x4) -> Y = 34 | CbCr = 69
MB 16 (4x4) -> Y = 45 | CbCr = 94
MB 17 (4x4) -> Y = 42 | CbCr = 111
MB 18 (4x4) -> Y = 34 | CbCr = 61
MB 19 (4x4) -> Y = 25 | CbCr = 73
MB 20 (4x4) -> Y = 42 | CbCr = 66
MB 21 (4x4) -> Y = 32 | CbCr = 91
MB 22 (4x4) -> Y = 39 | CbCr = 54
MB 23 (16x16) -> Y = 32 | CbCr = 42
MB 24 (4x4) -> Y = 41 | CbCr = 45
MB 25 (4x4) -> Y = 43 | CbCr = 60
MB 26 (4x4) -> Y = 36 | CbCr = 114
MB 27 (4x4) -> Y = 33 | CbCr = 155
MB 28 (4x4) -> Y = 32 | CbCr = 223
MB 29 (4x4) -> Y = 34 | CbCr = 285
MB 30 (4x4) -> Y = 49 | CbCr = 263
MB 31 (4x4) -> Y = 47 | CbCr = 358
MB 32 (4x4) -> Y = 43 | CbCr = 196
MB 33 (4x4) -> Y = 41 | CbCr = 112
MB 34 (4x4) -> Y = 44 | CbCr = 66
MB 35 (4x4) -> Y = 32 | CbCr = 41
MB 36 (4x4) -> Y = 13 | CbCr = 20
MB 37 (4x4) -> Y = 100 | CbCr = 250
MB 38 (4x4) -> Y = 45 | CbCr = 37
MB 39 (16x16) -> Y = 35 | CbCr = 28
MB 40 (4x4) -> Y = 46 | CbCr = 43
MB 41 (4x4) -> Y = 50 | CbCr = 34
MB 42 (4x4) -> Y = 53 | CbCr = 27
MB 43 (16x16) -> Y = 46 | CbCr = 40
MB 44 (4x4) -> Y = 62 | CbCr = 74
MB 45 (4x4) -> Y = 54 | CbCr = 35
MB 46 (4x4) -> Y = 64 | CbCr = 29
MB 47 (4x4) -> Y = 38 | CbCr = 43
MB 48 (4x4) -> Y = 52 | CbCr = 34
MB 49 (4x4) -> Y = 46 | CbCr = 31
MB 50 (4x4) -> Y = 53 | CbCr = 42
MB 51 (16x16) -> Y = 34 | CbCr = 53
MB 52 (4x4) -> Y = 61 | CbCr = 76
MB 53 (4x4) -> Y = 50 | CbCr = 84
MB 54 (16x16) -> Y = 36 | CbCr = 100
MB 55 (4x4) -> Y = 53 | CbCr = 54
MB 56 (16x16) -> Y = 40 | CbCr = 93
MB 57 (4x4) -> Y = 52 | CbCr = 107
MB 58 (16x16) -> Y = 43 | CbCr = 37
MB 59 (16x16) -> Y = 39 | CbCr = 48
MB 60 (16x16) -> Y = 23 | CbCr = 84
MB 61 (4x4) -> Y = 30 | CbCr = 41
MB 62 (4x4) -> Y = 33 | CbCr = 82
MB 63 (16x16) -> Y = 27 | CbCr = 52
